price,bedRoom,bathroom,balcony,floorNum,agePossession,Location,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category
125.0,4.0,4.0,3.0,6.0,Moderately Old,sector 1,0,0,0,0,3181.2,Unfurnished,Semi Luxurious
23.0,1.0,1.0,1.0,2.0,Relatively New,sector 4,0,0,0,0,552.0,Unfurnished,Not Luxurious
30.0,1.0,1.0,1.0,14.0,New Property,sector 84,0,0,0,0,540.0,Unfurnished,Semi Luxurious
155.0,3.0,4.0,1.0,1.0,Relatively New,sector 33,1,0,0,0,1256.0,Unfurnished,Semi Luxurious
79.0,2.0,2.0,2.0,8.0,Relatively New,sector 71,0,0,0,0,958.4,Unfurnished,Not Luxurious
50.0,2.0,2.0,2.0,2.0,Moderately Old,sector 7,0,0,0,1,720.0,Unfurnished,Not Luxurious
101.0,2.0,2.0,3.0,12.0,Under Construction,sohna,0,1,0,0,1160.0,Unfurnished,Semi Luxurious
95.0,4.0,5.0,3.0,4.0,Moderately Old,sector 92,1,0,0,0,1517.6,Unfurnished,Semi Luxurious
99.0,2.0,2.0,2.0,1.0,Relatively New,sector 77,0,0,0,0,1008.0,Unfurnished,Semi Luxurious
110.0,3.0,3.0,3.0,7.0,Under Construction,sector 37,0,0,0,0,1380.0,Unfurnished,Luxurious
190.0,4.0,4.0,3.0,3.0,New Property,sector 67,0,0,0,0,1760.0,Fully Furnished,Semi Luxurious
100.0,3.0,3.0,3.0,5.0,Under Construction,sector 37c,0,0,0,0,1500.0,Unfurnished,Semi Luxurious
250.0,3.0,3.0,3.0,9.0,Moderately Old,sector 57,0,0,0,0,1800.0,Unfurnished,Not Luxurious
110.0,2.0,2.0,2.0,14.0,Under Construction,sector 3,0,0,0,0,845.264,Unfurnished,Not Luxurious
29.0,2.0,2.0,2.0,14.0,Relatively New,sector 95,0,0,0,0,448.0,Unfurnished,Semi Luxurious
55.0,2.0,2.0,3.0,15.0,Relatively New,sector 95,0,0,0,0,990.0,Unfurnished,Not Luxurious
65.0,3.0,2.0,3.0,6.0,Relatively New,sector 92,0,0,0,0,1096.0,Unfurnished,Semi Luxurious
50.0,2.0,2.0,2.0,6.0,New Property,sohna,0,0,0,0,637.884,Unfurnished,Semi Luxurious
31.75,2.0,2.0,1.0,2.0,New Property,sector 99,0,0,0,0,460.0,Unfurnished,Not Luxurious
93.0,2.0,3.0,3.0,3.0,Relatively New,sector 103,1,0,0,0,1742.4,Fully Furnished,Luxurious
120.0,3.0,3.0,2.0,2.0,New Property,sector 89,0,0,0,0,1707.6,Unfurnished,Semi Luxurious
30.0,2.0,2.0,2.0,4.0,Relatively New,sohna,0,0,0,0,768.0,Unfurnished,Semi Luxurious
56.0,2.0,2.0,3.0,3.0,New Property,sohna,0,0,0,0,986.4,Unfurnished,Luxurious
270.0,3.0,4.0,3.0,6.0,Moderately Old,sector 49,0,0,0,0,1727.2,Unfurnished,Not Luxurious
