society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,Exhaust Fan,Fridge,Stove,Sofa,Wardrobe,Chimney,Curtains,Modular Kitchen,Dining Table,Bed,Geyser,Fan,Water Purifier,AC,Light,TV,Microwave,Washing Machine,furnishing_type
Sare Homes,119.0,5219,4,3,3,14,North,Relatively New,4, Sector 92 Gurgaon,21,1,0,0,0,2280,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suncity Avenue ,47.5,8928,2,2,1,5,South-East,Relatively New,2, Sector 102 Gurgaon,12,0,0,0,1,532,,632,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,53,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,10,0,0,0,0
ATS Kocoon,295.0,10350,4,4,3,7,South-East,Relatively New,4, Sector 109 Gurgaon,34,1,0,0,1,2850,3150,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,4,0,0,1,0,0,0,6,0,5,22,0,0,0,1
Bestech Park View Residency,98,6261,2,2,3,14,South-West,Moderately Old,2, Palam Vihar,14,0,1,0,0,,,1565,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0
Bestech Park View Residency,155.0,8072,3,4,3,10,East,Moderately Old,3, Palam Vihar,14,1,0,0,0,,,1920,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,3,0,0,1,0,0,1,4,0,0,5,0,0,0,0
Bestech Park View Residency,101.0,7137,2,2,3,0,East,Moderately Old,2, Palam Vihar,14,0,0,0,0,,,1415,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,4,0,0,0,0
Bestech Park View Residency,151.0,7890,3,4,3,8,West,Moderately Old,3, Palam Vihar,14,1,0,0,0,,,1920,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,3,0,0,1,0,0,0,5,0,0,5,0,0,0,0
Bestech Park View Residency,140.0,7865,3,3,3,8,South-West,Moderately Old,3, Palam Vihar,14,0,0,0,0,,,1780,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,3,0,0,1,0,0,1,4,0,0,4,0,0,0,0
Bestech Park View Residency,159.0,8281,3,4,3,11,North-West,Moderately Old,3, Palam Vihar,14,1,0,0,0,,,1920,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,3,0,0,1,0,0,1,4,0,0,5,0,0,0,0
Bestech Park View Residency,56.2,8632,1,2,2,7,North-East,Moderately Old,1, Palam Vihar,8,0,0,0,0,651,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,3,0,0,0,0
Conscient Heritage Max,200.0,9306,3,4,3,13,North-East,Relatively New,3, Sector 102 Gurgaon,25,1,1,0,0,1650,1900,2149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,3,5,0,5,5,0,0,0,1
Emaar Gurgaon Greens,135.0,10800,3,4,3,9,North-East,Relatively New,3, Sector 102 Gurgaon,14,1,0,1,0,1250,1400,1650,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,4,0,5,5,0,0,0,1
BPTP Amstoria,190.0,8444,3,3,3,1,North-East,Relatively New,3, Sector 102 Gurgaon,2,1,0,0,0,2250,2500,2727,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,2,5,0,4,5,0,0,0,0
Conscient Heritage Max,170.0,11333,3,4,3,8,North-East,Relatively New,3, Sector 102 Gurgaon,25,1,0,1,0,1500,1700,1942,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,5,0,5,4,0,0,0,1
Paras Dews,114.99999999999999,7419,3,3,3,11,North-East,Relatively New,3, Sector 106 Gurgaon,24,1,0,1,0,1550,1650,1760,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,4,0,4,5,0,0,0,1
SS The Coralwood,110.00000000000001,5820,3,3,3,12,East,Moderately Old,3, Sector 84 Gurgaon,21,0,0,0,0,,,1890,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,3,0,0,1,0,0,3,5,0,0,10,0,0,0,1
Emaar Gurgaon Greens,130.0,7878,3,3,3,4,East,Relatively New,3, Sector 102 Gurgaon,14,1,0,0,0,1022.58,,1650,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,43,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,3,6,0,3,6,0,0,0,1
Ireo The Grand Arch,484.99999999999994,16934,4,5,3,23,North-West,Relatively New,4, sector 58 Gurgaon,29,1,1,1,0,2864,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,1,0,4,1,0,1,0,0,6,4,0,5,7,0,0,0,1
Ireo The Grand Arch,220.00000000000003,16000,2,2,1,5,East,Relatively New,2, sector 58 Gurgaon,29,0,0,1,0,1375,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,2,1,0,1,0,0,3,6,0,2,5,0,0,0,1
Experion The Heartsong,125.0,9259,3,3,3,1,South-East,Relatively New,3, Sector 108 Gurgaon,14,1,0,1,0,1350,1500,1758,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,6,0,0,0,0
Experion The Heartsong,155.0,7738,3,3,3,7,North-East,Relatively New,3, Sector 108 Gurgaon,14,1,0,1,0,1550,1750,2003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,2,4,0,5,7,0,0,0,1
