society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,Exhaust Fan,Fridge,Stove,Sofa,Wardrobe,Chimney,Curtains,Modular Kitchen,Dining Table,Bed,Geyser,Fan,Water Purifier,AC,Light,TV,Microwave,Washing Machine,furnishing_type
maa bhagwati residency,45,5000,2,2,1,4,West,Relatively New,2, Krishna Colony,4,0,0,0,0,900,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0
Apna Enclave,50,7692,2,2,1,1,West,Old Property,2, Ashok Vihar,3,0,0,0,0,650,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,3,1,1,1,0,0,1,4,0,0,3,0,0,0,1
Tulsiani Easy in Homes,40,6722,2,2,3,12,,New Property,2, Sohna,14,0,0,0,0,595,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart World Orchard,147.0,12250,2,2,2,2,,Under Construction,2, Sector 61 Gurgaon,4,0,1,0,0,1200,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkwood Westend,70,5204,2,2,3,5,,Under Construction,2, Sector 92 Gurgaon,8,0,1,0,0,,,1345,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signature Global Infinity Mall,41,6269,2,2,3,3,,Undefined,2, Sector 36 Gurgaon,3,0,0,0,0,,654,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cocoon,200.0,13333,3,3,3,5,,New Property,3, Dwarka Expressway Gurgaon,25,0,0,0,0,,,1500,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS Triumph,180.0,7860,3,4,3,14,,New Property,3, Sector 104 Gurgaon,27,0,0,0,0,2290,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,24,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatika XpreSS The Leafions,110.00000000000001,8148,2,4,3,2,North-East,Under Construction,2, Sector 88B Gurgaon,3,0,1,0,0,1050,1350,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheja Revanta,475.0,16885,3,3,2,31,,Under Construction,3, Sector 78 Gurgaon,40,1,0,0,0,,2813,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,37,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signature Global City ,96,9767,2,2,2,1,,Under Construction,2, Sector 81 Gurgaon,4,0,0,0,0,1075,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCBS Sports Ville,29,5587,2,2,1,4,,Relatively New,2, Sohna,13,0,0,0,0,519,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supertech Araville,135.0,6940,3,3,3,4,,Relatively New,3, Sector 79 Gurgaon,15,0,0,0,0,1945,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,0,0,0,0
Godrej,95,6859,2,2,3,3,South-East,Under Construction,2, Sector 33 Gurgaon,20,0,0,0,0,,,1385,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shree Vardhman Flora,70,5384,2,2,3,13,,New Property,2, Sector 90 Gurgaon,13,0,1,0,0,,,1300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sobha City,395.0,16859,4,5,3,25,,Undefined,4, Sector 108 Gurgaon,25,0,0,0,0,2300,2343,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senate Court,90,14084,1,1,0,0,,Undefined,1, Sector 62 Gurgaon,1,0,0,0,0,,639,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shapoorji Pallonji Joyville Gurugram,105.0,11475,2,2,2,0,,Under Construction,2, Sector 102 Gurgaon,14,0,0,0,0,915,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Signature Global Orchard Avenue ,,,2,2,3,11,East,Under Construction,2, Sector 93 Gurgaon,14,0,0,0,0,577.11,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Park Flower Valley,220.00000000000003,10476,3,3,3,12,North-East,New Property,3, Sector-33 Sohna,13,1,0,0,0,,,2100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
Smart World Gems,101.0,9156,2,2,2,4,,Under Construction,2, Sector 89 Gurgaon,4,0,1,0,0,1103,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bestech Altura,185.0,8604,3,4,3,11,North,New Property,3, Sector 79 Gurgaon,22,1,0,0,0,,,2150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0
Smart World Gems,86,7796,2,3,3,4,,Under Construction,2, Sector 89 Gurgaon,4,0,0,0,0,,,1103,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emaar Imperial Gardens,185.0,9135,3,3,3,0,South-West,Relatively New,3, Sector 102 Gurgaon,14,1,0,0,0,2025,,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,5,0,0,1,0,0,0,8,0,5,20,0,0,0,1
La Vida by Tata Housing,285.0,12855,3,3,3,10,East,New Property,3, Sector 113 Gurgaon,25,1,0,0,0,,,2217,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Serenas,42,7910,2,2,1,3,,Undefined,2, Sector 36 Gurgaon,3,0,0,0,0,531,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
MM Golfestate,615.0,18331,3,4,2,20,North-East,Undefined,3, Sector 65 Gurgaon,20,0,0,0,0,2200,3355,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Park Resort Belgravia Residences,625.0,24300,3,5,3,5,South-East,Moderately Old,3, Sector 48 Gurgaon,17,1,0,0,0,2880,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,10,1,0,1,0,0,4,6,0,0,55,0,0,0,1
Apex builders,42,5600,2,2,2,4,North,Relatively New,2, Sector 37C Gurgaon,12,0,0,0,0,750,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godrej Habitat,135.0,12784,2,2,0,4,North-East,Undefined,2, Sector 3 Gurgaon,4,0,0,0,0,912,1056,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ompee K S Residency,160.0,26936,2,2,2,1,,Relatively New,2, New Palam Vihar,4,0,0,0,0,66,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhawna CGHS,325.0,10156,4,4,3,12,,Moderately Old,4, Sector 43 Gurgaon,12,0,0,1,0,3000,,3200,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,34,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,7,0,7,11,0,0,0,1
Adani Aangan Arcade,45,7194,2,2,1,8,,New Property,2, Sector 88A Gurgaon,12,0,0,0,0,625.47,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sare Green Parc,85,6538,3,2,2,20,,Undefined,3, Sector 92 Gurgaon,20,0,0,0,0,,1300,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shree Vardhman Flora,75,5769,2,2,3,8,North-East,Undefined,2, Sector 90 Gurgaon,8,0,0,0,0,1300,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Supertech Hues,82,6950,2,2,3,21,,Under Construction,2, Sector 68 Gurgaon,24,0,0,0,0,,,1180,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chintels Paradiso,180.0,8866,3,3,2,0,East,Moderately Old,3, Sector 109 Gurgaon,11,1,0,0,0,1785,,2030,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breez Global Hill View,29.99,5403,2,2,2,6,North-East,New Property,2, Sohna,19,0,0,0,0,555,,655,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ILD Greens,78,5714,2,2,3,1,North,Moderately Old,2, Sector 37C Gurgaon,19,0,0,0,0,900,1068.1,1365,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,2,1,0,1,0,0,1,3,0,0,10,0,0,0,1
Ansal Sushant Lok CI,200.0,15151,3,3,2,1,North,Old Property,3, Sector 43 Gurgaon,3,1,0,0,0,1320,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,5,0,1,0,1,3,3,6,0,0,0,2,0,0,2
Ashiana Mulberry,74,6200,2,2,3,12,North-West,New Property,2, Sohna,17,0,0,0,0,1210,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Godrej Meridien,320.0,16000,3,3,3,6,,Under Construction,3, Sector 106 Gurgaon,24,1,0,0,0,2002,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapsko Casa Bella,130.0,6378,4,4,3,1,North,Relatively New,4, Sector 82 Gurgaon,25,1,0,0,0,,,1960,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pooja Apartment,25,3571,2,2,2,2,East,Relatively New,2, Ashok Vihar Phase 3 Extension,4,0,0,0,0,700,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,6,0,0,0,0
Signature Global Park,95,7846,3,2,3,1,,Relatively New,3, Sohna,4,0,0,0,0,756.6,1210.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF New Town Heights ,199.0,7297,4,4,3,9,East,Relatively New,4, Sector 90 Gurgaon,29,1,0,1,0,2727,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0,1,0,1,0,0,6,8,0,0,10,0,0,0,1
Paras Dews,105.0,7581,2,2,2,5,West,New Property,2, Sector 106 Gurgaon,8,0,0,0,0,1385,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,7,0,0,0,0
Godrej Air,183.0,10005,3,3,3,18,,Under Construction,3, Sector 85 Gurgaon,32,0,0,0,0,1829,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,48,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DLF The Primus,225.0,10714,3,3,3,29,East,Relatively New,3, Sector 82A Gurgaon,31,1,0,0,0,2100,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,3,1,0,1,0,0,4,7,1,5,10,0,1,0,2
Emaar MGF Emerald Floors Premier,280.0,16969,3,3,3,3,,Relatively New,3, Sector 65 Gurgaon,5,1,1,0,0,1650,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1
DLF Regency Park ,160.0,14545,2,2,2,3,North,Relatively New,2, DLF Phase 4,26,0,0,0,0,1100,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
Supertech Araville,83,5424,2,2,3,5,North-East,New Property,2, Sector 79 Gurgaon,18,0,1,0,0,1530,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,2,1,1,1,0,2,1,2,1,0,5,0,1,0,2
Signature Global Park,83,7410,3,2,2,1,,New Property,3, Sohna,4,0,0,0,0,1120,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxworth City Residences,80,6400,2,3,2,9,,New Property,2, Sector 10A Gurgaon,12,0,0,0,0,1250,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deepak Minda,125.0,4715,4,4,3,6,,Moderately Old,4, Sector 1A IMT Manesar,10,0,0,0,0,2651,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,0,0,2,7,0,0,6,0,0,0,1
Shree Shyam residency,23,5000,1,1,1,2,South,Relatively New,1, Block A Surya Vihar,4,0,0,0,0,460,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
Pivotal Devaan,30,6666,1,1,1,14,,New Property,1, Sector 84 Gurgaon,14,0,0,0,0,450,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,1
Unitech The Residences,155.0,9872,3,4,1,1,South,Relatively New,3, Sector 33 Gurgaon,11,1,0,0,0,,,1570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,7,0,0,0,0
CHD Avenue ,79,6594,2,2,2,8,South-East,Relatively New,2, Sector 71 Gurgaon,14,0,0,0,0,,,1198,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0
"Gokuldham Society, Bahadurgarh",50,5555,2,2,2,2,,Moderately Old,2, Sector-7 Housing Board,2,0,0,0,1,750,,900,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Silverglades The Melia,101.0,7000,2,2,3,12,,Under Construction,2, Sohna,12,0,1,0,0,950,,1450,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
Sare Crescent Parc Royal Greens Phase ,95,5007,4,5,3,4,,Moderately Old,4, Sector 92 Gurgaon,14,1,0,0,0,,,1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umang Winter Hills,99,7857,2,2,2,1,North,Relatively New,2, Sector 77 Gurgaon,18,0,0,0,0,1000,,1260,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ramprastha Skyz,110.00000000000001,6376,3,3,3,7,East,Under Construction,3, Sector 37D Gurgaon,19,0,0,0,0,,,1725,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Aradhya Homes,190.0,8863,4,4,3,3,,New Property,4, Sector 67A Gurgaon,4,0,0,0,0,,,2200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,1,0,4,1,0,1,0,0,0,4,0,0,11,0,1,0,1
ILD Greens,100.0,4320,3,3,3,5,North,Under Construction,3, Sector 37C Gurgaon,20,0,0,0,0,,,1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPTP Freedom Park Life,250.0,11111,3,3,3,9,,Moderately Old,3, Sector 57 Gurgaon,15,0,0,0,0,,,2250,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godrej Habitat,110.00000000000001,10410,2,2,2,14,,Under Construction,2, Sector 3 Gurgaon,17,0,0,0,0,,,1056.58,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramsons Kshitij,29,5178,2,2,2,14,,Relatively New,2, Sector 95 Gurgaon,14,0,0,0,0,,,560,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidhartha NCR One,55,5556,2,2,3,15,North-East,Undefined,2, Sector 95 Gurgaon,20,0,0,0,0,950,990,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
