price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
70.0,2.0,2.0,3.0,13.0,New Property,sector 90,0,1,0,0,1040.0,Unfurnished,Not Luxurious,28.4085° N, 76.9369° E
395.0,4.0,5.0,3.0,25.0,Relatively New,sector 108,0,0,0,0,2343.0,Unfurnished,Not Luxurious,28.5134° N, 76.9830° E
90.0,1.0,1.0,0.0,0.0,Relatively New,sector 62,0,0,0,0,639.0,Unfurnished,Not Luxurious,28.4139° N, 77.0886° E
105.0,2.0,2.0,2.0,0.0,Under Construction,sector 102,0,0,0,0,1098.0,Unfurnished,Semi Luxurious,28.4750° N, 76.9715° E
220.00000000000003,3.0,3.0,3.0,12.0,New Property,sohna,1,0,0,0,1680.0,Unfurnished,Semi Luxurious,28.2470° N, 77.0650° E
101.0,2.0,2.0,2.0,4.0,Under Construction,sector 89,0,1,0,0,1323.6,Unfurnished,Not Luxurious,28.4253° N, 76.9439° E
185.0,3.0,4.0,3.0,11.0,New Property,sector 79,1,0,0,0,1720.0,Fully Furnished,Semi Luxurious,28.3624° N, 76.9787° E
86.0,2.0,3.0,3.0,4.0,Under Construction,sector 89,0,0,0,0,882.4000000000001,Unfurnished,Not Luxurious,28.4253° N, 76.9439° E
185.0,3.0,3.0,3.0,0.0,Relatively New,sector 102,1,0,0,0,2430.0,Fully Furnished,Luxurious,28.4750° N, 76.9715° E
285.0,3.0,3.0,3.0,10.0,New Property,sector 113,1,0,0,0,1773.6,Unfurnished,Semi Luxurious,28.5287° N, 77.0233° E
42.0,2.0,2.0,1.0,3.0,Relatively New,sector 36,0,0,0,0,637.2,Unfurnished,Not Luxurious,28.4160° N, 76.9914° E
615.0,3.0,4.0,2.0,20.0,Relatively New,sector 65,0,0,0,0,3355.0,Unfurnished,Not Luxurious,28.4030° N, 77.0690° E
625.0,3.0,5.0,3.0,5.0,Moderately Old,sector 48,1,0,0,0,3456.0,Fully Furnished,Semi Luxurious,28.4177° N, 77.0359° E
42.0,2.0,2.0,2.0,4.0,Relatively New,sector 37c,0,0,0,0,900.0,Unfurnished,Semi Luxurious,28.4515° N, 76.9882° E
135.0,2.0,2.0,0.0,4.0,Relatively New,sector 3,0,0,0,0,1056.0,Unfurnished,Not Luxurious,28.4909° N, 77.0176° E
160.0,2.0,2.0,2.0,1.0,Relatively New,sector 110,0,0,0,0,79.2,Unfurnished,Not Luxurious,28.5145° N, 77.0197° E
325.0,4.0,4.0,3.0,12.0,Moderately Old,sector 43,0,0,1,0,2560.0,Fully Furnished,Semi Luxurious,28.4629° N, 77.0772° E
45.0,2.0,2.0,1.0,8.0,New Property,sector 88,0,0,0,0,750.5640000000001,Unfurnished,Semi Luxurious,28.4220° N, 76.9571° E
85.0,3.0,2.0,2.0,20.0,Relatively New,sector 92,0,0,0,0,1300.0,Unfurnished,Not Luxurious,28.4079° N, 76.9153° E
75.0,2.0,2.0,3.0,8.0,Relatively New,sector 90,0,0,0,0,1560.0,Unfurnished,Not Luxurious,28.4085° N, 76.9369° E
82.0,2.0,2.0,3.0,21.0,Under Construction,sector 68,0,0,0,0,944.0,Unfurnished,Semi Luxurious,28.3853° N, 77.0484° E
180.0,3.0,3.0,2.0,0.0,Moderately Old,sector 109,1,0,0,0,1624.0,Unfurnished,Semi Luxurious,28.5073° N, 77.0089° E
29.99,2.0,2.0,2.0,6.0,New Property,sohna,0,0,0,0,524.0,Unfurnished,Semi Luxurious,28.2470° N, 77.0650° E
78.0,2.0,2.0,3.0,1.0,Moderately Old,sector 37c,0,0,0,0,1068.1,Fully Furnished,Semi Luxurious,28.4515° N, 76.9882° E
200.0,3.0,3.0,2.0,1.0,Old Property,sector 43,1,0,0,0,1584.0,Semi Furnished,Semi Luxurious,28.4629° N, 77.0772° E
74.0,2.0,2.0,3.0,12.0,New Property,sohna,0,0,0,0,1452.0,Unfurnished,Luxurious,28.2470° N, 77.0650° E
320.0,3.0,3.0,3.0,6.0,Under Construction,sector 106,1,0,0,0,2402.4,Unfurnished,Semi Luxurious,28.5007° N, 77.0003° E
130.0,4.0,4.0,3.0,1.0,Relatively New,sector 82,1,0,0,0,1568.0,Unfurnished,Luxurious,28.3935° N, 76.9600° E
25.0,2.0,2.0,2.0,2.0,Relatively New,sector 5,0,0,0,0,840.0,Unfurnished,Not Luxurious,28.4794° N, 77.0176° E
95.0,3.0,2.0,3.0,1.0,Relatively New,sohna,0,0,0,0,1210.73,Unfurnished,Semi Luxurious,28.2470° N, 77.0650° E
199.0,4.0,4.0,3.0,9.0,Relatively New,sector 90,1,0,1,0,3272.4,Fully Furnished,Luxurious,28.4085° N, 76.9369° E
105.0,2.0,2.0,2.0,5.0,New Property,sector 106,0,0,0,0,1662.0,Unfurnished,Luxurious,28.5007° N, 77.0003° E
183.0,3.0,3.0,3.0,18.0,Under Construction,sector 85,0,0,0,0,2194.8,Unfurnished,Luxurious,28.4042° N, 76.9513° E
